,,,,,,,,,,,,,,"Notice: Height of safety catch is cage height until 84"", then its 84"".","Notice: Height of safety catch is cage height until 84"", then its 84"".",,,,,,
,,,,1/30/2019,1/30/2019,1/30/2019,1/30/2019,,,$774 ,$90 ,"$12,960 ","Notice: Height of safety catch is cage height until 84"", then its 84"".",1/30/2019,1/30/2019,1/30/2019,1/30/2019,,,,
DxH,Diameter,Height,# panels,"Bird Regular (.120 1"" x 1"" Black Powder Coated Wire)","Bird Special (.120 1"" x 1"" Black Powder Coated Wire)","Cat Regular (.090 x 1-1/2"" x 1-1/2"" Black Powder Coated Wire)","Cat Special (.090 x 1-1/2"" x 1-1/2"" Black Powder Coated Wire)",61,"1,323",Printed Background on Black Granite Laminate (per panel) Bird,Printed Background on Aluminum Laminate (per panel) Bird,Printed Background on Black Granite Laminate (per panel) cat,Printed Background on Aluminum Laminate (per panel) cat,"1"" x 1"" black pc wire bird BIRD SAFETY CATCH PRICE","1"" x 1"" black pc wire bird DOUBLE BIRD SAFETY CATCH PRICE","1-1/2"" x 1-1/2"" black pc wire CAT SAFETY CATCH PRICE","1-1/2"" x 1-1/2"" black pc wire DOUBLE CAT SAFETY CATCH PRICE","Pull Out Floor 1"" x 1"" PC black wire .120 (bird only)",Pull Out Tray Black PC Steel,PC Aluminum Pull out Tray (entire price),cut to size washable lenolium - fits in tray or sit on floor
10-66,10,66,12,5489.9,0,5246.52,0,331,881,134,31,155,191,939,751,878,703,,,,540
10-72,10,72,12,5717.6,5150,5452.1,4895,356,881,146,31,169,209,980,784,914,731,,,,540
10-84,10,84,12,6576.76,0,6267.01,0,394,881,171,31,197,243,1061,849,986,789,,,,540
10-96,10,96,12,8082.95,7250,7728.95,6995,527,881,195,31,225,278,1397,1118,1322,"1,058",,,,540
10-120,10,120,12,9750.46,8750,9307.96,8395,606,881,244,31,281,348,1408,1126,1333,"1,066",,,,540
10-144,10,144,12,11782.3,0,11251.3,0,683,"1,061",293,31,338,417,1419,1135,1344,"1,075",,,,777.6
12-24,12,24,16,4866.16,0,4748.16,0,243,"1,306",49,41,56,70,646,517,617,494,,,,777.6
12-30,12,30,16,5130.36,0,4982.86,0,270,"1,306",61,41,70,87,687,549,653,522,,,,777.6
12-36,12,36,16,5394.56,0,5217.56,0,297,"1,306",73,41,84,104,727,582,689,551,,,,777.6
12-42,12,42,16,5658.75,0,5452.25,0,324,"1,306",85,41,98,122,768,614,725,580,,,,777.6
12-48,12,48,16,5922.95,0,5686.95,0,351,"1,306",98,41,113,139,808,647,761,609,,,,777.6
12-54,12,54,16,6444.94,0,6179.44,0,379,"1,306",110,41,127,156,858,686,806,645,,,,777.6
12-60,12,60,16,6709.14,0,6414.14,0,406,"1,306",122,41,141,174,898,719,842,674,,,,777.6
12-66,12,66,16,6973.34,0,6648.84,0,433,"1,306",134,41,155,191,939,751,878,703,,,,777.6
12-72,12,72,16,7264.36,6550,6910.36,6150,464,"1,306",146,41,169,209,980,784,914,731,,,,777.6
12-84,12,84,16,8377.26,0,7964.26,0,515,"1,338",171,41,197,243,1061,849,986,789,,,,777.6
12-96,12,96,16,10385.51,9350,9913.51,8950,692,"1,338",195,41,225,278,1397,1118,1322,"1,058",,,,777.6
12-120,12,120,16,12604.22,11350,12014.22,10850,797,"1,338",244,41,281,348,1408,1126,1333,"1,066",,,,777.6
12-144,12,144,16,15149.3,13650,14441.3,12995,900,"1,554",293,41,338,417,1419,1135,1344,"1,075",,,,777.6
12-216,12,216,16,18391.1,0,17329.1,0,"1,208","1,554",439,41,506,626,1452,1162,1377,"1,102",,,,0
