Cage Size,H3 Bird New Reg Price - changed 1-31-2019,H3 Bird New Sale Price - changed 1-31-2019,H3 reptile New Reg Price - changed 1-31-2019,H3 reptile New Sale Price - changed 1-31-2019,H3 Hood/Stand w cage price - changed 1-31-2019,H3 sys A POF/POT Price - changed 8/2011,H3 sys B POF/POT Price - changed 8/2015,H3 Rem Div Price  - changed 8/2015,H3 Cover Price - changed 10/2017 ,,H2 Bird New Reg Price - changed 1-31-2019,H2 Bird New Sale Price - changed1-31-2019,H2 reptile New Reg Price - changed 1-31-2019,H2 reptile New Sale Price - changed 1-31-2019,H2 Hood/Stand w cage price - changed 1-31-2019,H2 sys A POF/POT Price - changed 8/2011,H2 sys B POF/POT Price - changed 8/2015,H2 Rem Div Price  - changed 8/2015,H2 Cover Price - changed 10/2017,,Majestic New Bird Regular Price - changed 8/2011,Majestic New Bird Regular Price - changed 2016,Majestic New Bird Sale Price - changed 8/2011,Majestic New Bird Sale Price - changed 2016,Majestic New Reptile Regular Price - changed 8/2011,Majestic New Reptile Regular Price - changed 2016,Majestic New Reptile Sale Price - changed 8/2011,Majestic New Reptile Sale Price - changed 2016,Majestic Hood/Stands No Door - changed 8/2011,Majestic Hood/Stands No Door - changed 2015,Majestic Hood/Stands with Door - changed 8/2011,Majestic Hood/Stands No Door - changed 2019,Majestic Hood/Stands with Door - changed 2015,POT B Price - changed 8/2011,Majestic Hood/Stands with Door - changed 2019,POT B Price - changed 2015,Majestic Rem. Div. Price - changed 8/2011,Majestic Rem. Div. Price - changed 2015,Majestic Cover Price - changed 8/2011,Majestic Cover Price - changed 2015
12-18-60,963.56, ,809.7, ,620.5,N/A**,365.95,262.95,256.14,,730.6, ,576.74, ,421.06,N/A**,365.95,294.95,256.14,,"1,902.95","2,774.92", , ,"1,810.95","2,637.54", , ,529.95,593.95,666.95,665.224,766.95,348.95,858.984,390.95,311.95,349.95,164.95,256.14
12-24-12,462.95, ,427.78, ,344.62,N/A**,144.95,84.95,158.34,,340.87, ,305.7, ,254.18,114.54,144.95,95.95,158.34,,"1,093.95","1,607.18", , ,"1,081.95","1,575.78", , ,297.95,333.95,458.95,374.024,527.95,203.95,591.304,228.95,116.95,130.95,102.95,158.34
12-24-18,539.9, ,487.14, ,386.57,N/A**,182.95,107.95,172.32,,403.26, ,350.5, ,281.06,142.62,182.95,120.95,172.32,,"1,209.95","1,774.08", , ,"1,185.95","1,726.98", , ,329.95,369.95,491.95,414.344,565.95,232.95,633.864,260.95,142.95,160.95,111.95,172.32
12-24-24,613.48, ,543.14, ,425.67,N/A**,219.95,129.95,186.27,,461.16, ,390.82, ,305.7,181.23,219.95,145.95,186.27,,"1,325.95","1,939.86", , ,"1,288.95","1,877.06", , ,364.95,408.95,525.95,458.024,604.95,259.95,677.544,291.95,166.95,186.95,119.95,186.27
12-24-30,690.42, ,602.5, ,467.63,N/A**,257.95,152.95,200.25,,521.3, ,433.38, ,333.7,N/A**,257.95,171.95,200.25,,"1,441.95","2,109.00", , ,"1,393.95","2,030.50", , ,397.95,445.95,559.95,499.464,643.95,288.95,721.224,323.95,191.95,214.95,129.95,200.25
12-24-36,764.01, ,658.5, ,506.73,N/A**,295.95,173.95,214.23,,580.33, ,474.82, ,360.58,N/A**,295.95,194.95,214.23,,"1,558.95","2,275.90", , ,"1,497.95","2,181.70", , ,430.95,482.95,591.95,540.904,680.95,318.95,762.664,357.95,214.95,240.95,138.95,214.23
12-24-42,842.07, ,718.98, ,549.64,N/A**,330.95,195.95,228.18,,640.47, ,517.38, ,387.46,N/A**,330.95,219.95,228.18,,"1,673.95","2,441.68", , ,"1,600.95","2,331.78", , ,464.95,520.95,624.95,583.464,718.95,345.95,805.224,387.95,238.95,267.95,147.95,228.18
12-24-48,915.66, ,774.98, ,588.74,N/A**,368.95,217.95,242.16,,699.5, ,558.82, ,413.22,N/A**,368.95,244.95,242.16,,"1,790.95","2,608.58", , ,"1,704.95","2,482.98", , ,497.95,557.95,658.95,624.904,757.95,373.95,848.904,418.95,263.95,295.95,156.95,242.16
12-24-60,"1,066.18", ,890.34, ,669.79,N/A**,443.95,262.95,270.09,,818.66, ,642.82, ,466.98,N/A**,443.95,294.95,270.09,,"2,022.95","2,941.26", , ,"1,911.95","2,784.26", , ,563.95,631.95,724.95,707.784,833.95,430.95,934.024,482.95,311.95,349.95,174.95,270.09
12-30-12,518.87, ,479.3, ,384.16,N/A**,166.95,84.95,172.32,,383.35, ,343.78, ,284.42,132.09,166.95,95.95,172.32,,"1,180.95","1,733.19", , ,"1,165.95","1,697.86", , ,315.95,353.95,499.95,396.424,574.95,239.95,643.944,268.95,116.95,130.95,111.95,172.32
