HxLxD,Height,Length,Depth,"""C"" for custom ""S"" for special",Panels Long,Panels Deep,"Price with 1"" wire and PC Steel Pitched Roof","Discount for 1"" wire roof instead of pitched roof","Addl. 1"" wire floor option (bolted in on larger cages - removable on smaller cages - or wire roof add on (in addition to steel roof)","Bolted on bottom only ""B"" or removable option ""R""  (bolt on wire floor keeps varmets out, can also sub for other diamenters or solid materials)",Price Per Divider to split the Length (goes front to back in the cage),Price Per Divider to split the depth (goes left to right in cage),Silver Alum Frame Upgrade,Alum/Silver Roof Upgrade,Printed Background on Black Granite Laminate (per panel) Bird,Printed Background on Black Granite Laminate (per panel) Bird,Printed Background on Aluminum Laminate (per panel) Bird,Printed Background on Aluminum Laminate (per panel) Bird,"Safety Catch 1"" pc wire","DOUBLE Safety Catch 1"" pc wire","Extra Door (in place of a panel - 1"" pc wire)",Pull Out Tray Price,Powder coated aluminum upgrade pull out tray,cut to size washable lenolium - fits in tray or sit on floor,bird special price,cat regular price,cat special price
12-72-24,12,72,24,c,1,1,1728,766,274,R,122,173,100,126,59,20,74,25,506,405,100,180.00,234.00,64.80,0,1714.00,0
12-72-30,12,72,30,c,1,1,1773,962,295,R,119,173,100,152,59,24,74,31,506,405,103,225.00,292.50,81.00,0,1758.00,0
12-72-36,12,72,36,c,1,1,2106,1159,316,R,135,174,100,177,59,29,74,37,506,405,105,270.00,351.00,97.20,0,2091.00,0
12-72-42,12,72,42,c,1,1,2294,1208,484,R,142,174,100,203,59,34,74,43,506,405,108,315.00,409.50,113.40,0,2280.00,0
12-72-48,12,72,48,c,1,1,2483,1396,514,R,149,175,100,228,59,39,74,50,506,405,110,360.00,468.00,129.60,0,2468.00,0
12-72-60,12,72,60,c,1,1,2643,1772,573,R,151,175,100,279,59,49,74,62,506,405,115,450.00,585.00,162.00,0,2629.00,0
12-72-72,12,72,72,c,1,1,3237,2148,632,R,176,176,100,330,59,59,74,74,506,405,120,540.00,702.00,194.40,0,3223.00,0
12-84-12,12,84,12,c,1,1,1439,431,254,R,109,186,100,85,68,10,87,12,506,405,96,105.00,136.50,37.80,0,1425.00,0
12-84-18,12,84,18,c,1,1,1647,655,277,R,116,186,100,114,68,15,87,19,506,405,98,157.50,204.75,56.70,0,1633.00,0
12-84-24,12,84,24,c,1,1,1855,880,300,R,123,187,100,142,68,20,87,25,506,405,100,210.00,273.00,75.60,0,1841.00,0
12-84-30,12,84,30,c,1,1,1908,1105,323,R,120,187,100,171,68,24,87,31,506,405,103,262.50,341.25,94.50,0,1893.00,0
12-84-36,12,84,36,c,1,1,2271,1191,484,R,136,188,100,199,68,29,87,37,506,405,105,315.00,409.50,113.40,0,2257.00,0
12-84-42,12,84,42,c,1,1,2479,1407,516,R,143,188,100,228,68,34,87,43,506,405,108,367.50,477.75,132.30,0,2465.00,0
