HxLxD,Height,Length,Depth,"""C"" for custom ""S"" for special",Panels Long,Panels Deep,"Price with 1"" wire and PC Steel Pitched Roof","Discount for 1"" wire roof instead of pitched roof","Addl. 1"" wire floor option (bolted in on larger cages - removable on smaller cages - or wire roof add on (in addition to steel roof)","Bolted on bottom only ""B"" or removable option ""R""  (bolt on wire floor keeps varmets out, can also sub for other diamenters or solid materials)",Price Per Divider to split the Length (goes front to back in the cage),Price Per Divider to split the depth (goes left to right in cage),Silver Alum Frame Upgrade,Alum/Silver Roof Upgrade,Printed Background on Black Granite Laminate (per panel) Bird,Printed Background on Black Granite Laminate (per panel) Bird,Printed Background on Aluminum Laminate (per panel) Bird,Printed Background on Aluminum Laminate (per panel) Bird,"Safety Catch 1"" pc wire","DOUBLE Safety Catch 1"" pc wire","Extra Door (in place of a panel - 1"" pc wire)",Pull Out Tray Price,Powder coated aluminum upgrade pull out tray,cut to size washable lenolium - fits in tray or sit on floor,bird special price,cat regular price,cat special price
24-120-60,24,120,60,c,2,1,3537,2728,897,R,186,343,100,415,98,98,124,124,581,465,120,750.00,975.00,270.00,0,3494.00,0
24-120-72,24,120,72,c,2,1,4340,3119,1181,R,216,343,100,490,98,117,124,149,581,465,124,900.00,1170.00,324.00,0,4297.00,0
24-120-84,24,120,84,c,2,1,4832,3684,1291,R,234,343,102,565,98,137,124,174,581,465,129,1050.00,1365.00,378.00,0,4789.00,0
24-120-90,24,120,90,c,2,1,4665,3966,1346,R,228,343,106,603,98,146,124,186,581,465,132,1125.00,1462.50,405.00,0,4621.00,0
24-120-120,24,120,120,c,2,2,6710,4562,3188,B,343,343,112,940,98,98,124,124,581,465,120,1500.00,1950.00,540.00,0,6652.00,0
24-150-12,24,150,12,c,2,1,2100,777,373,R,131,387,100,143,122,20,155,25,581,465,100,187.50,243.75,67.50,0,2057.00,0
24-150-18,24,150,18,c,2,1,2400,1163,407,R,140,387,100,190,122,29,155,37,581,465,103,281.25,365.63,101.25,0,2357.00,0
24-150-24,24,150,24,c,2,1,2700,1428,562,R,148,387,100,236,122,39,155,50,581,465,105,375.00,487.50,135.00,0,2657.00,0
24-150-30,24,150,30,c,2,1,2760,1806,604,R,146,387,100,283,122,49,155,62,581,465,108,468.75,609.38,168.75,0,2717.00,0
24-150-36,24,150,36,c,2,1,3301,2183,647,R,166,387,100,329,122,59,155,74,581,465,110,562.50,731.25,202.50,0,3257.00,0
24-150-42,24,150,42,c,2,1,3601,2413,837,R,175,387,100,376,122,68,155,87,581,465,112,656.25,853.13,236.25,0,3557.00,0
24-150-48,24,150,48,c,2,1,3901,2782,888,R,184,387,100,422,122,78,155,99,581,465,115,750.00,975.00,270.00,0,3857.00,0
24-150-60,24,150,60,c,2,1,4136,3345,1165,R,188,387,100,515,122,98,155,124,581,465,120,937.50,1218.75,337.50,0,4092.00,0
24-150-72,24,150,72,c,2,1,5101,4065,1285,R,219,387,104,608,122,117,155,149,581,465,124,1125.00,1462.50,405.00,0,5057.00,0
24-150-84,24,150,84,c,2,1,5701,4367,1823,R,236,387,110,701,122,137,155,174,581,465,129,1312.50,1706.25,472.50,0,5657.00,0
24-150-90,24,150,90,c,2,1,5511,4709,1901,R,230,387,114,748,122,146,155,186,581,465,132,1406.25,1828.13,506.25,0,5467.00,0
24-150-120,24,150,120,c,2,2,7969,5451,4159,B,345,387,120,1160,122,98,155,124,581,465,120,1875.00,2437.50,675.00,0,7910.00,0
24-150-150,24,150,150,c,2,2,10850,7300,4635,B,387,387,132,1438,122,122,155,155,581,465,126,2343.75,3046.88,843.75,0,10792.00,0
24-180-12,24,180,12,c,2,1,2485,923,427,R,133,441,100,168,146,20,186,25,581,465,100,225.00,292.50,81.00,0,2441.00,0
24-180-18,24,180,18,c,2,1,2859,1267,578,R,142,442,100,222,146,29,186,37,581,465,103,337.50,438.75,121.50,0,2815.00,0
24-180-24,24,180,24,c,2,1,3233,1714,626,R,151,442,100,276,146,39,186,50,581,465,105,450.00,585.00,162.00,0,3189.00,0
24-180-30,24,180,30,c,2,1,3338,2162,673,R,148,443,100,330,146,49,186,62,581,465,108,562.50,731.25,202.50,0,3294.00,0
24-180-36,24,180,36,c,2,1,3980,2471,859,R,168,443,100,384,146,59,186,74,581,465,110,675.00,877.50,243.00,0,3937.00,0
24-180-42,24,180,42,c,2,1,4354,2909,916,R,177,443,100,438,146,68,186,87,581,465,112,787.50,1023.75,283.50,0,4310.00,0
24-180-48,24,180,48,c,2,1,4728,3192,1128,R,186,444,100,492,146,78,186,99,581,465,115,900.00,1170.00,324.00,0,4684.00,0
24-180-60,24,180,60,c,2,1,5064,4051,1259,R,190,445,106,600,146,98,186,124,581,465,120,1125.00,1462.50,405.00,0,5020.00,0
24-180-72,24,180,72,c,2,1,6223,4528,1772,R,221,445,112,708,146,117,186,149,581,465,124,1350.00,1755.00,486.00,0,6180.00,0
24-180-84,24,180,84,c,2,1,6971,5353,1937,R,239,446,118,816,146,137,186,174,581,465,129,1575.00,2047.50,567.00,0,6927.00,0
24-180-90,24,180,90,c,2,1,6789,5765,2020,R,232,447,122,870,146,146,186,186,581,465,132,1687.50,2193.75,607.50,0,6745.00,0
24-180-120,24,180,120,c,2,2,9691,6726,4434,B,347,455,128,1320,146,98,186,124,581,465,120,2250.00,2925.00,810.00,0,9633.00,0
24-180-150,24,180,150,c,2,2,13098,7358,6502,B,389,457,140,1635,146,122,186,155,581,465,126,2812.50,3656.25,1012.50,0,13040.00,0
24-180-180,24,180,180,c,2,2,16436,9382,7178,B,459,459,152,1950,146,146,186,186,581,465,132,3375.00,4387.50,1215.00,0,16378.00,0
24-210-12,24,210,12,c,2,1,2724,1094,481,R,135,486,100,196,171,20,217,25,581,465,100,262.50,341.25,94.50,0,2680.00,0
24-210-18,24,210,18,c,2,1,3156,1516,637,R,144,486,100,259,171,29,217,37,581,465,103,393.75,511.88,141.75,0,3113.00,0
24-210-24,24,210,24,c,2,1,3589,2040,690,R,153,486,100,322,171,39,217,50,581,465,105,525.00,682.50,189.00,0,3545.00,0
24-210-30,24,210,30,c,2,1,3721,2436,872,R,150,487,100,385,171,49,217,62,581,465,108,656.25,853.13,236.25,0,3677.00,0
24-210-36,24,210,36,c,2,1,4453,2952,933,R,171,487,101,448,171,59,217,74,581,465,110,787.50,1023.75,283.50,0,4410.00,0
24-210-42,24,210,42,c,2,1,4886,3320,1142,R,179,488,104,511,171,68,217,87,581,465,112,918.75,1194.38,330.75,0,4842.00,0
24-210-48,24,210,48,c,2,1,5318,3828,1212,R,188,488,107,574,171,78,217,99,581,465,115,1050.00,1365.00,378.00,0,5274.00,0
24-210-60,24,210,60,c,2,1,5716,4495,1700,R,192,489,114,700,171,98,217,124,581,465,120,1312.50,1706.25,472.50,0,5672.00,0
24-210-72,24,210,72,c,2,1,7047,5475,1875,R,223,490,120,826,171,117,217,149,581,465,124,1575.00,2047.50,567.00,0,7004.00,0
24-210-84,24,210,84,c,2,1,7912,6245,2260,R,241,490,126,952,171,137,217,174,581,465,129,1837.50,2388.75,661.50,0,7868.00,0
24-210-90,24,210,90,c,2,1,7712,6726,2356,R,234,491,130,1015,171,146,217,186,581,465,132,1968.75,2559.38,708.75,0,7668.00,0
24-210-120,24,210,120,c,2,2,11064,6920,6100,B,349,499,136,1540,171,98,217,124,581,465,120,2625.00,3412.50,945.00,0,11006.00,0
24-210-150,24,210,150,c,2,2,14997,9368,6802,B,391,501,148,1908,171,122,217,155,581,465,126,3281.25,4265.63,1181.25,0,14938.00,0
24-210-180,24,210,180,c,2,2,18856,10945,8375,B,461,503,160,2275,171,146,217,186,581,465,132,3937.50,5118.75,1417.50,0,18797.00,0
24-210-240,24,210,240,c,2,3,24527,15066,10554,B,629,514,180,3010,171,130,217,165,581,465,128,5250.00,6825.00,1890.00,0,24454.00,0
24-240-12,24,240,12,c,3,1,3160,1137,638,R,140,605,102,221,130,20,165,25,581,465,100,300.00,390.00,108.00,0,3101.00,0
24-240-18,24,240,18,c,3,1,3641,1732,696,R,148,605,106,292,130,29,165,37,581,465,103,450.00,585.00,162.00,0,3582.00,0
24-240-24,24,240,24,c,3,1,4122,2205,875,R,157,606,109,362,130,39,165,50,581,465,105,600.00,780.00,216.00,0,4063.00,0
24-240-30,24,240,30,c,3,1,4261,2792,941,R,154,606,112,433,130,49,165,62,581,465,108,750.00,975.00,270.00,0,4202.00,0
24-240-36,24,240,36,c,3,1,5084,3239,1146,R,175,606,115,503,130,59,165,74,581,465,110,900.00,1170.00,324.00,0,5026.00,0
24-240-42,24,240,42,c,3,1,5565,3816,1221,R,184,607,118,574,130,68,165,87,581,465,112,1050.00,1365.00,378.00,0,5507.00,0
24-240-48,24,240,48,c,3,1,6046,4081,1609,R,192,607,122,644,130,78,165,99,581,465,115,1200.00,1560.00,432.00,0,5988.00,0
24-240-60,24,240,60,c,3,1,6481,5201,1794,R,196,608,128,785,130,98,165,124,581,465,120,1500.00,1950.00,540.00,0,6423.00,0
24-240-72,24,240,72,c,3,1,7970,6129,2171,R,228,609,134,926,130,117,165,149,581,465,124,1800.00,2340.00,648.00,0,7912.00,0
24-240-84,24,240,84,c,3,1,8933,7022,2583,R,245,610,141,1067,130,137,165,174,581,465,129,2100.00,2730.00,756.00,0,8874.00,0
24-240-90,24,240,90,c,3,1,8702,7565,2693,R,238,610,144,1138,130,146,165,186,581,465,132,2250.00,2925.00,810.00,0,8643.00,0
24-240-120,24,240,120,c,3,2,12279,8194,6376,B,353,619,150,1700,130,98,165,124,581,465,120,3000.00,3900.00,1080.00,0,12206.00,0
24-240-150,24,240,150,c,3,2,16612,10209,7886,B,395,621,162,2105,130,122,165,155,581,465,126,3750.00,4875.00,1350.00,0,16539.00,0
24-240-180,24,240,180,c,3,2,20860,12049,9571,B,466,623,174,2510,130,146,165,186,581,465,132,4500.00,5850.00,1620.00,0,20787.00,0
24-240-210,24,240,210,c,3,2,23892,14854,10291,B,510,625,186,2915,130,171,165,217,581,465,138,5250.00,6825.00,1890.00,0,23818.00,0
24-240-240,24,240,240,c,3,3,27075,16434,12236,B,633,633,194,3320,130,130,165,165,581,465,128,6000.00,7800.00,2160.00,0,26987.00,0
24-270-12,24,270,12,c,3,1,3399,1308,692,R,142,649,110,249,146,20,186,25,581,465,100,337.50,438.75,121.50,0,3340.00,0
24-270-18,24,270,18,c,3,1,3938,1980,755,R,151,650,114,329,146,29,186,37,581,465,103,506.25,658.13,182.25,0,3880.00,0
24-270-24,24,270,24,c,3,1,4478,2532,938,R,160,650,117,408,146,39,186,50,581,465,105,675.00,877.50,243.00,0,4419.00,0
24-270-30,24,270,30,c,3,1,4644,3195,1010,R,156,650,120,488,146,49,186,62,581,465,108,843.75,1096.88,303.75,0,4585.00,0
24-270-36,24,270,36,c,3,1,5557,3720,1220,R,177,651,123,567,146,59,186,74,581,465,110,1012.50,1316.25,364.50,0,5499.00,0
24-270-42,24,270,42,c,3,1,6097,4375,1300,R,186,651,126,647,146,68,186,87,581,465,112,1181.25,1535.63,425.25,0,6038.00,0
24-270-48,24,270,48,c,3,1,6636,4717,1693,R,195,652,130,726,146,78,186,99,581,465,115,1350.00,1755.00,486.00,0,6578.00,0
24-270-60,24,270,60,c,3,1,7134,5992,1888,R,198,652,136,885,146,98,186,124,581,465,120,1687.50,2193.75,607.50,0,7076.00,0
24-270-72,24,270,72,c,3,1,8795,7075,2275,R,230,653,142,1044,146,117,186,149,581,465,124,2025.00,2632.50,729.00,0,8736.00,0
24-270-84,24,270,84,c,3,1,9874,8124,2696,R,248,654,149,1203,146,137,186,174,581,465,129,2362.50,3071.25,850.50,0,9815.00,0
24-270-90,24,270,90,c,3,1,9624,8526,3029,R,240,654,152,1283,146,146,186,186,581,465,132,2531.25,3290.63,911.25,0,9566.00,0
24-270-120,24,270,120,c,3,2,13652,9778,6652,B,355,663,158,1920,146,98,186,124,581,465,120,3375.00,4387.50,1215.00,0,13579.00,0
24-270-150,24,270,150,c,3,2,18511,11436,8969,B,397,665,170,2378,146,122,186,155,581,465,126,4218.75,5484.38,1518.75,0,18437.00,0
24-270-180,24,270,180,c,3,2,23280,13612,10768,B,468,667,182,2835,146,146,186,186,581,465,132,5062.50,6581.25,1822.50,0,23206.00,0
24-270-210,24,270,210,c,3,2,26692,16495,11860,B,512,669,194,3293,146,171,186,217,581,465,138,5906.25,7678.13,2126.25,0,26619.00,0
24-270-240,24,270,240,c,3,3,30256,18412,13918,B,636,678,202,3750,146,130,186,165,581,465,128,6750.00,8775.00,2430.00,0,30168.00,0
24-300-12,24,300,12,c,3,1,3618,1454,746,R,144,694,118,274,163,20,207,25,581,465,100,375.00,487.50,135.00,0,3560.00,0
24-300-18,24,300,18,c,3,1,4207,2196,814,R,153,694,122,361,163,29,207,37,581,465,103,562.50,731.25,202.50,0,4148.00,0
24-300-24,24,300,24,c,3,1,4795,2818,1002,R,162,694,125,448,163,39,207,50,581,465,105,750.00,975.00,270.00,0,4737.00,0
24-300-30,24,300,30,c,3,1,4981,3421,1209,R,158,695,128,535,163,49,207,62,581,465,108,937.50,1218.75,337.50,0,4923.00,0
24-300-36,24,300,36,c,3,1,5972,4146,1294,R,179,695,131,622,163,59,207,74,581,465,110,1125.00,1462.50,405.00,0,5913.00,0
24-300-42,24,300,42,c,3,1,6560,4576,1674,R,188,696,134,709,163,68,207,87,581,465,112,1312.50,1706.25,472.50,0,6501.00,0
24-300-48,24,300,48,c,3,1,7148,5284,1776,R,197,696,138,796,163,78,207,99,581,465,115,1500.00,1950.00,540.00,0,7090.00,0
24-300-60,24,300,60,c,3,1,7697,6524,2156,R,200,697,144,970,163,98,207,124,581,465,120,1875.00,2437.50,675.00,0,7638.00,0
24-300-72,24,300,72,c,3,1,9502,7730,2570,R,232,698,150,1144,163,117,207,149,581,465,124,2250.00,2925.00,810.00,0,9443.00,0
24-300-84,24,300,84,c,3,1,10678,8901,3019,R,250,698,157,1318,163,137,207,174,581,465,129,2625.00,3412.50,945.00,0,10620.00,0
24-300-90,24,300,90,c,3,1,10412,9364,3366,R,242,699,160,1405,163,146,207,186,581,465,132,2812.50,3656.25,1012.50,0,10354.00,0
24-300-120,24,300,120,c,3,2,14664,10358,7622,B,357,707,166,2080,163,98,207,124,581,465,120,3750.00,4875.00,1350.00,0,14591.00,0
24-300-150,24,300,150,c,3,2,19903,13060,9270,B,399,709,178,2575,163,122,207,155,581,465,126,4687.50,6093.75,1687.50,0,19830.00,0
24-300-180,24,300,180,c,3,2,25047,14716,11964,B,470,711,190,3070,163,146,207,186,581,465,132,5625.00,7312.50,2025.00,0,24974.00,0
24-300-210,24,300,210,c,3,2,28731,17601,13429,B,514,713,202,3565,163,171,207,217,581,465,138,6562.50,8531.25,2362.50,0,28658.00,0
24-300-240,24,300,240,c,3,3,32567,19780,15600,B,638,722,210,4060,163,130,207,165,581,465,128,7500.00,9750.00,2700.00,0,32479.00,0
24-330-12,24,330,12,c,3,1,3857,1625,800,R,147,738,126,302,179,20,227,25,581,465,100,412.50,536.25,148.50,0,3799.00,0
24-330-18,24,330,18,c,3,1,4504,2333,985,R,155,738,130,398,179,29,227,37,581,465,103,618.75,804.38,222.75,0,4446.00,0
24-330-24,24,330,24,c,3,1,5151,3144,1066,R,164,739,133,494,179,39,227,50,581,465,105,825.00,1072.50,297.00,0,5093.00,0
24-330-30,24,330,30,c,3,1,5364,3825,1278,R,160,739,136,590,179,49,227,62,581,465,108,1031.25,1340.63,371.25,0,5306.00,0
24-330-36,24,330,36,c,3,1,6445,4350,1645,R,182,740,139,686,179,59,227,74,581,465,110,1237.50,1608.75,445.50,0,6386.00,0
24-330-42,24,330,42,c,3,1,7092,5135,1753,R,191,740,142,782,179,68,227,87,581,465,112,1443.75,1876.88,519.75,0,7033.00,0
24-330-48,24,330,48,c,3,1,7738,5920,1860,R,199,740,146,878,179,78,227,99,581,465,115,1650.00,2145.00,594.00,0,7680.00,0
24-330-60,24,330,60,c,3,1,8349,7316,2250,R,202,741,152,1070,179,98,227,124,581,465,120,2062.50,2681.25,742.50,0,8291.00,0
24-330-72,24,330,72,c,3,1,10326,8485,2865,R,235,742,158,1262,179,117,227,149,581,465,124,2475.00,3217.50,891.00,0,10267.00,0
24-330-84,24,330,84,c,3,1,11619,9793,3342,R,252,743,165,1454,179,137,227,174,581,465,129,2887.50,3753.75,1039.50,0,11561.00,0
24-330-90,24,330,90,c,3,1,11335,10325,3703,R,244,743,168,1550,179,146,227,186,581,465,132,3093.75,4021.88,1113.75,0,11276.00,0
24-330-120,24,330,120,c,3,2,16037,11942,7898,B,359,752,174,2300,179,98,227,124,581,465,120,4125.00,5362.50,1485.00,0,15964.00,0
24-330-150,24,330,150,c,3,2,21802,14286,10354,B,401,754,186,2848,179,122,227,155,581,465,126,5156.25,6703.13,1856.25,0,21729.00,0
24-330-180,24,330,180,c,3,2,27467,16280,13160,B,473,756,198,3395,179,146,227,186,581,465,132,6187.50,8043.75,2227.50,0,27394.00,0
24-330-210,24,330,210,c,3,2,31532,19242,14998,B,517,758,210,3943,179,171,227,217,581,465,138,7218.75,9384.38,2598.75,0,31459.00,0
24-330-240,24,330,240,c,3,3,35748,21759,17281,B,640,766,218,4490,179,130,227,165,581,465,128,8250.00,10725.00,2970.00,0,35660.00,0
24-360-12,24,360,12,c,4,1,4293,1771,854,R,151,857,141,327,146,20,186,25,581,465,100,450.00,585.00,162.00,0,4220.00,0
24-360-18,24,360,18,c,4,1,4989,2549,1044,R,160,858,144,431,146,29,186,37,581,465,103,675.00,877.50,243.00,0,4915.00,0
24-360-24,24,360,24,c,4,1,5684,3309,1251,R,168,858,147,534,146,39,186,50,581,465,105,900.00,1170.00,324.00,0,5611.00,0
24-360-30,24,360,30,c,4,1,5904,4181,1346,R,164,858,150,638,146,49,186,62,581,465,108,1125.00,1462.50,405.00,0,5831.00,0
24-360-36,24,360,36,c,4,1,7075,4776,1719,R,186,859,154,741,146,59,186,74,581,465,110,1350.00,1755.00,486.00,0,7002.00,0
24-360-42,24,360,42,c,4,1,7771,5631,1832,R,195,859,157,845,146,68,186,87,581,465,112,1575.00,2047.50,567.00,0,7698.00,0
24-360-48,24,360,48,c,4,1,8466,6330,2100,R,204,860,160,948,146,78,186,99,581,465,115,1800.00,2340.00,648.00,0,8393.00,0
24-360-60,24,360,60,c,4,1,9114,7848,2517,R,206,860,166,1155,146,98,186,124,581,465,120,2250.00,2925.00,810.00,0,9041.00,0
24-360-72,24,360,72,c,4,1,11249,9140,3160,R,239,861,173,1362,146,117,186,149,581,465,124,2700.00,3510.00,972.00,0,11176.00,0
24-360-84,24,360,84,c,4,1,12640,10570,3665,R,256,862,179,1569,146,137,186,174,581,465,129,3150.00,4095.00,1134.00,0,12567.00,0
24-360-90,24,360,90,c,4,1,12325,11163,4039,R,248,862,182,1673,146,146,186,186,581,465,132,3375.00,4387.50,1215.00,0,12252.00,0
24-360-120,24,360,120,c,4,2,17252,12521,8869,B,363,871,189,2460,146,98,186,124,581,465,120,4500.00,5850.00,1620.00,0,17164.00,0
24-360-150,24,360,150,c,4,2,23417,15128,11437,B,405,873,201,3045,146,122,186,155,581,465,126,5625.00,7312.50,2025.00,0,23329.00,0
24-360-180,24,360,180,c,4,2,29471,17383,14357,B,477,875,213,3630,146,146,186,186,581,465,132,6750.00,8775.00,2430.00,0,29383.00,0
24-360-210,24,360,210,c,4,2,33808,21479,15436,B,521,877,225,4215,146,171,186,217,581,465,138,7875.00,10237.50,2835.00,0,33720.00,0
24-360-240,24,360,240,c,4,3,38296,23127,18963,B,645,886,233,4800,146,130,186,165,581,465,128,9000.00,11700.00,3240.00,0,38193.00,0
30-12-12,30,12,12,c,1,1,1054,55,125,R,125,125,100,22,24,24,31,31,618,494,103,15.00,19.50,5.40,0,1018.00,0
30-18-12,30,18,12,c,1,1,1098,84,136,R,126,135,100,27,37,24,47,31,618,494,103,22.50,29.25,8.10,0,1062.00,0
30-18-18,30,18,18,c,1,1,1189,147,148,R,136,136,100,38,37,37,47,47,618,494,105,33.75,43.88,12.15,0,1153.00,0
30-24-12,30,24,12,c,1,1,1142,113,147,R,126,145,100,32,49,24,62,31,618,494,103,30.00,39.00,10.80,0,1106.00,0
30-24-18,30,24,18,c,1,1,1243,191,159,R,136,145,100,44,49,37,62,47,618,494,105,45.00,58.50,16.20,0,1207.00,0
30-24-24,30,24,24,c,1,1,1344,268,172,R,146,146,100,56,49,49,62,62,618,494,108,60.00,78.00,21.60,0,1307.00,0
30-30-12,30,30,12,c,1,1,1102,143,157,R,127,145,100,37,61,24,78,31,618,494,103,37.50,48.75,13.50,0,1066.00,0
30-30-18,30,30,18,c,1,1,1204,234,171,R,137,145,100,51,61,37,78,47,618,494,105,56.25,73.13,20.25,0,1168.00,0
30-30-24,30,30,24,c,1,1,1307,325,185,R,146,145,100,64,61,49,78,62,618,494,108,75.00,97.50,27.00,0,1270.00,0
30-30-30,30,30,30,c,1,1,1299,416,199,R,145,145,100,78,61,61,78,78,618,494,110,93.75,121.88,33.75,0,1263.00,0
30-36-12,30,36,12,c,1,1,1230,172,168,R,127,165,100,42,73,24,93,31,618,494,103,45.00,58.50,16.20,0,1194.00,0
30-36-18,30,36,18,c,1,1,1350,277,183,R,137,165,100,57,73,37,93,47,618,494,105,67.50,87.75,24.30,0,1314.00,0
30-36-24,30,36,24,c,1,1,1471,382,198,R,147,166,100,72,73,49,93,62,618,494,108,90.00,117.00,32.40,0,1434.00,0
30-36-30,30,36,30,c,1,1,1476,487,213,R,146,166,100,87,73,61,93,78,618,494,110,112.50,146.25,40.50,0,1440.00,0
30-36-36,30,36,36,c,1,1,1711,593,227,R,166,166,100,102,73,73,93,93,618,494,112,135.00,175.50,48.60,0,1675.00,0
30-42-12,30,42,12,c,1,1,1274,201,179,R,128,175,100,47,85,24,109,31,618,494,103,52.50,68.25,18.90,0,1238.00,0
30-42-18,30,42,18,c,1,1,1404,320,195,R,137,175,100,64,85,37,109,47,618,494,105,78.75,102.38,28.35,0,1368.00,0
30-42-24,30,42,24,c,1,1,1534,439,211,R,147,175,100,80,85,49,109,62,618,494,108,105.00,136.50,37.80,0,1498.00,0
30-42-30,30,42,30,c,1,1,1544,559,226,R,146,176,100,97,85,61,109,78,618,494,110,131.25,170.63,47.25,0,1507.00,0
30-42-36,30,42,36,c,1,1,1794,678,242,R,167,176,100,113,85,73,109,93,618,494,112,157.50,204.75,56.70,0,1758.00,0
30-42-42,30,42,42,c,1,1,1924,797,258,R,177,177,100,130,85,85,109,109,618,494,115,183.75,238.88,66.15,0,1888.00,0
30-48-12,30,48,12,c,1,1,1318,230,190,R,128,185,100,52,98,24,124,31,618,494,103,60.00,78.00,21.60,0,1281.00,0
30-48-18,30,48,18,c,1,1,1458,363,207,R,138,185,100,70,98,37,124,47,618,494,105,90.00,117.00,32.40,0,1421.00,0
30-48-24,30,48,24,c,1,1,1597,497,223,R,148,185,100,88,98,49,124,62,618,494,108,120.00,156.00,43.20,0,1561.00,0
30-48-30,30,48,30,c,1,1,1611,630,240,R,147,186,100,106,98,61,124,78,618,494,110,150.00,195.00,54.00,0,1575.00,0
30-48-36,30,48,36,c,1,1,1877,763,257,R,167,186,100,124,98,73,124,93,618,494,112,180.00,234.00,64.80,0,1841.00,0
30-48-42,30,48,42,c,1,1,2017,896,274,R,177,187,100,142,98,85,124,109,618,494,115,210.00,273.00,75.60,0,1981.00,0
30-48-48,30,48,48,c,1,1,2157,1030,290,R,187,187,100,160,98,98,124,124,618,494,117,240.00,312.00,86.40,0,2120.00,0
30-60-12,30,60,12,c,1,1,1305,289,211,R,129,194,100,62,122,24,155,31,618,494,103,75.00,97.50,27.00,0,1269.00,0
30-60-18,30,60,18,c,1,1,1452,450,230,R,139,194,100,83,122,37,155,47,618,494,105,112.50,146.25,40.50,0,1416.00,0
30-60-24,30,60,24,c,1,1,1599,611,249,R,149,194,100,104,122,49,155,62,618,494,108,150.00,195.00,54.00,0,1563.00,0
30-60-30,30,60,30,c,1,1,1609,772,268,R,147,194,100,125,122,61,155,78,618,494,110,187.50,243.75,67.50,0,1573.00,0
30-60-36,30,60,36,c,1,1,1893,934,286,R,168,194,100,146,122,73,155,93,618,494,112,225.00,292.50,81.00,0,1857.00,0
30-60-42,30,60,42,c,1,1,2040,1095,305,R,178,194,100,167,122,85,155,109,618,494,115,262.50,341.25,94.50,0,2004.00,0
30-60-48,30,60,48,c,1,1,2188,1100,480,R,188,194,100,188,122,98,155,124,618,494,117,300.00,390.00,108.00,0,2151.00,0
30-60-60,30,60,60,c,1,1,2283,1405,535,R,194,194,100,230,122,122,155,155,618,494,122,375.00,487.50,135.00,0,2247.00,0
30-72-12,30,72,12,c,1,1,1513,372,233,R,130,224,100,75,146,24,186,31,618,494,103,90.00,117.00,32.40,0,1477.00,0
30-72-18,30,72,18,c,1,1,1702,569,254,R,140,224,100,101,146,37,186,47,618,494,105,135.00,175.50,48.60,0,1665.00,0
30-72-24,30,72,24,c,1,1,1890,766,274,R,150,225,100,126,146,49,186,62,618,494,108,180.00,234.00,64.80,0,1854.00,0
30-72-30,30,72,30,c,1,1,1926,962,295,R,148,225,100,152,146,61,186,78,618,494,110,225.00,292.50,81.00,0,1890.00,0
30-72-36,30,72,36,c,1,1,2267,1159,316,R,169,226,100,177,146,73,186,93,618,494,112,270.00,351.00,97.20,0,2231.00,0
30-72-42,30,72,42,c,1,1,2456,1208,484,R,179,226,100,203,146,85,186,109,618,494,115,315.00,409.50,113.40,0,2419.00,0
30-72-48,30,72,48,c,1,1,2644,1396,514,R,189,226,100,228,146,98,186,124,618,494,117,360.00,468.00,129.60,0,2608.00,0
30-72-60,30,72,60,c,1,1,2797,1772,573,R,195,227,100,279,146,122,186,155,618,494,122,450.00,585.00,162.00,0,2760.00,0
30-72-72,30,72,72,c,1,1,3399,2148,632,R,228,228,100,330,146,146,186,186,618,494,127,540.00,702.00,194.40,0,3362.00,0
30-84-12,30,84,12,c,1,1,1601,431,254,R,131,244,100,85,171,24,217,31,618,494,103,105.00,136.50,37.80,0,1564.00,0
30-84-18,30,84,18,c,1,1,1809,655,277,R,141,244,100,114,171,37,217,47,618,494,105,157.50,204.75,56.70,0,1772.00,0
30-84-24,30,84,24,c,1,1,2017,880,300,R,151,245,100,142,171,49,217,62,618,494,108,210.00,273.00,75.60,0,1981.00,0
30-84-30,30,84,30,c,1,1,2061,1105,323,R,149,245,100,171,171,61,217,78,618,494,110,262.50,341.25,94.50,0,2025.00,0
30-84-36,30,84,36,c,1,1,2433,1191,484,R,170,245,100,199,171,73,217,93,618,494,112,315.00,409.50,113.40,0,2397.00,0
30-84-42,30,84,42,c,1,1,2641,1407,516,R,180,246,100,228,171,85,217,109,618,494,115,367.50,477.75,132.30,0,2605.00,0
30-84-48,30,84,48,c,1,1,2849,1623,547,R,190,246,100,256,171,98,217,124,618,494,117,420.00,546.00,151.20,0,2813.00,0
30-84-60,30,84,60,c,1,1,3022,2054,611,R,196,247,100,313,171,122,217,155,618,494,122,525.00,682.50,189.00,0,2985.00,0
30-84-72,30,84,72,c,1,1,3682,2295,865,R,229,248,100,370,171,146,217,186,618,494,127,630.00,819.00,226.80,0,3645.00,0
30-84-84,30,84,84,c,1,1,4098,2709,946,R,249,249,100,427,171,171,217,217,618,494,132,735.00,955.50,264.60,0,4061.00,0
30-90-12,30,90,12,c,1,1,1526,460,265,R,131,244,100,90,183,24,233,31,618,494,103,112.50,146.25,40.50,0,1489.00,0
30-90-18,30,90,18,c,1,1,1727,698,289,R,141,244,100,120,183,37,233,47,618,494,105,168.75,219.38,60.75,0,1690.00,0
30-90-24,30,90,24,c,1,1,1928,937,313,R,151,244,100,150,183,49,233,62,618,494,108,225.00,292.50,81.00,0,1892.00,0
